exposure_id,user_id,variant,day
324,509,B,0
325,511,B,0
326,513,A,0
327,515,B,1
328,517,A,2
329,518,B,0
330,520,A,2
331,521,A,1
332,527,B,2
333,528,A,1
334,529,B,2
335,531,A,0
336,533,B,0
337,534,B,1
338,535,B,0
339,538,A,1
340,539,B,1
341,541,A,1
342,542,B,0
343,546,A,1
344,549,B,2
345,552,B,2
346,553,A,0
347,554,B,2
348,555,B,0
349,556,B,1
350,557,A,1
351,559,A,2
352,560,B,0
353,561,A,2
354,564,A,2
355,565,B,0
356,568,A,1
357,570,A,0
358,571,B,2
359,572,A,1
360,573,A,0
361,575,B,0
362,576,B,1
363,577,A,1
364,578,B,2
365,581,A,2
366,582,B,1
367,584,A,2
368,585,B,2
369,586,A,1
370,588,A,1
371,590,B,0
372,591,A,2
373,594,B,0
374,595,A,1
375,596,A,2
376,598,A,1
377,599,A,2
378,600,A,1
379,601,B,1
380,602,B,1
381,603,A,1
382,604,B,2
383,607,A,2
384,609,B,1
385,610,B,0
386,611,B,0
387,612,B,2
388,614,A,2
389,615,B,2
390,616,A,0
391,618,B,2
392,619,B,0
393,620,B,2
394,622,A,1
395,625,B,2
396,627,B,1
397,628,A,2
398,629,B,2
399,632,A,0
400,633,B,2
401,635,B,0
402,636,A,2
403,637,A,2
404,638,A,2
405,640,B,1
406,641,A,0
407,642,A,1
408,645,A,0
409,651,A,2
410,653,B,0
411,654,B,1
412,655,A,2
413,656,B,2
414,658,A,1
415,660,B,1
416,666,B,0
417,668,A,0
418,669,A,2
419,671,A,0
420,672,B,2
421,674,B,0
422,676,A,0
423,677,A,1
424,678,A,1
425,679,A,1
426,681,A,2
427,682,A,1
428,683,B,2
429,685,B,0
430,687,B,0
431,688,B,1
432,695,B,0
433,697,A,1
434,698,A,2
435,699,B,0
436,700,A,0
437,703,A,2
438,704,A,1
439,707,B,2
440,708,A,2
441,710,B,2
442,711,B,1
443,712,B,0
444,715,A,0
445,718,B,1
446,719,A,1
447,721,B,2
448,722,A,1
449,724,A,0
450,725,A,2
451,726,A,0
452,727,B,0
453,728,B,1
454,729,A,1
455,731,B,2
456,732,B,1
457,733,A,1
458,735,A,0
459,736,A,2
460,737,B,2
461,738,A,0
462,740,A,0
463,741,B,2
464,742,A,1
465,743,B,2
466,744,A,1
467,745,B,2
468,746,B,1
469,747,B,2
470,749,B,1
471,751,B,0
472,752,B,1
473,753,A,2
474,754,B,2
475,755,A,0
476,758,A,0
477,760,B,0
478,761,B,0
479,762,A,0
480,763,A,2
481,764,A,1
482,765,A,1
483,766,B,2
484,767,B,1
485,770,B,1
486,773,A,2
487,774,B,1
488,777,A,0
489,780,A,1
490,782,A,0
491,783,A,1
492,784,A,0
493,786,B,2
494,787,A,1
495,792,A,2
496,793,A,0
497,794,B,0
498,795,B,0
499,796,B,0
500,797,B,2
501,799,B,1
502,800,A,1
503,802,A,1
504,803,A,1
505,804,B,1
506,805,B,1
507,807,A,1
508,808,B,2
509,809,A,1
510,811,A,1
511,812,B,0
512,815,B,1
513,816,A,2
514,818,A,1
515,820,B,0
516,821,B,1
517,822,A,2
518,823,A,1
519,824,B,0
520,825,B,1
521,826,B,1
522,827,B,0
523,828,B,1
524,830,B,1
525,832,B,0
526,833,A,1
527,834,A,2
528,835,A,1
529,837,A,0
530,839,A,0
531,841,A,2
532,842,B,0
533,843,A,2
534,844,A,0
535,846,B,1
536,847,B,2
537,848,A,0
538,850,A,1
539,852,B,2
540,853,A,2
541,854,B,1
542,855,A,0
543,856,B,0
544,857,B,1
545,858,A,0
546,860,A,1
547,861,B,0
548,863,A,2
549,866,A,0
550,869,A,0
551,870,B,0
552,871,A,0
553,872,B,2
554,873,B,0
555,874,B,2
556,876,A,2
557,878,B,0
558,879,B,1
559,881,B,0
560,882,B,1
561,883,B,2
562,884,B,2
563,887,B,0
564,888,A,2
565,889,A,2
566,890,B,2
567,891,A,2
568,893,A,0
569,894,A,2
570,895,A,0
571,897,B,0
572,900,B,1
573,901,B,1
574,903,B,1
575,905,A,0
576,906,B,0
577,907,B,2
578,908,A,2
579,910,B,2
580,912,A,1
581,913,A,0
582,914,B,2
583,919,A,0
584,920,A,1
585,922,A,1
586,923,B,1
587,926,A,2
588,929,B,1
589,931,A,1
590,932,B,0
591,933,A,2
592,934,B,1
593,935,A,1
594,936,B,0
595,937,B,1
596,938,A,0
597,939,B,0
598,940,B,1
599,942,B,1
600,943,A,0
601,944,B,1
602,946,B,2
603,947,B,2
604,949,B,2
605,950,B,1
606,952,B,1
607,953,B,0
608,954,B,1
609,955,B,0
610,958,A,2
611,959,A,1
612,962,B,2
613,963,B,2
614,965,B,0
615,967,A,2
616,969,B,2
617,970,B,1
618,971,B,1
619,974,B,0
620,976,B,0
621,979,B,2
622,981,A,1
623,982,A,1
624,983,A,0
625,984,B,1
626,985,B,1
627,986,A,0
628,988,B,0
629,991,B,0
630,992,A,1
631,993,B,2
632,994,A,1
633,997,A,1
634,999,A,2
635,1000,B,1
636,1001,B,0
637,1002,A,2
638,1003,B,2
639,1004,B,2
640,1008,B,0
641,1009,A,2
642,1011,B,0
643,1014,B,0
644,1015,A,1
645,1016,A,2
646,1017,B,2
647,1019,B,2
648,1022,B,1
649,1028,A,2
650,1029,B,2
651,1030,B,0
652,1033,B,0
653,1034,B,2
654,1037,A,0
655,1038,B,1
656,1040,B,2
657,1041,B,2
658,1042,B,0
659,1043,A,0
660,1045,A,1
661,1046,B,1
662,1049,B,1
663,1050,B,0
664,1051,A,1
665,1056,A,1
666,1058,B,0
667,1059,A,2
668,1060,A,1
669,1061,A,2
670,1062,B,2
671,1064,A,1
672,1068,A,1
673,1071,B,2
674,1075,B,0
675,1077,B,2
676,1079,A,1
677,1082,B,1
678,1083,B,0
679,1084,B,2
680,1085,B,0
681,1087,B,2
682,1088,A,2
683,1090,A,1
684,1095,A,1
685,1097,A,1
686,1098,B,0
687,1099,B,0
688,1100,A,0
689,1101,B,0
690,1103,B,1
691,1104,A,0
692,1106,A,1
693,1107,B,1
694,1108,A,1
695,1109,B,1
696,1110,A,1
697,1111,A,1
698,1112,B,1
699,1113,A,2
700,1115,B,0
701,1116,B,0
702,1117,B,0
703,1122,B,0
704,1123,A,1
705,1126,A,1
706,1128,A,1
707,1129,A,0
708,1132,B,2
709,1135,A,1
710,1138,B,2
711,1141,A,2
712,1142,B,1
713,1143,B,2
714,1144,A,0
715,1145,B,2
716,1146,A,1
717,1147,B,0
718,1148,A,0
719,1150,A,1
720,1152,B,2
721,1153,A,0
722,1157,B,2
723,1159,B,0
724,1160,B,2
725,1161,A,2
726,1164,B,0
727,1165,A,1
728,1166,B,2
729,1167,B,0
730,1169,A,0
731,1172,B,2
732,1175,A,1
733,1177,B,1
734,1178,A,0
735,1179,A,1
736,1181,B,1
737,1182,A,1
738,1183,A,2
739,1184,B,1
740,1185,A,1
741,1188,B,0
742,1189,A,1
743,1192,B,0
744,1194,B,1
745,1195,A,0
746,1196,A,2
747,1197,B,0
748,1198,B,1
749,1199,A,1
750,1200,B,2
751,1201,B,0
752,1202,B,2
753,1204,A,2
754,1207,B,2
755,1208,A,0
756,1209,A,0
757,1210,B,1
758,1211,A,2
759,1213,B,1
760,1214,A,1
761,1216,A,0
762,1217,B,2
763,1218,A,1
764,1219,A,0
765,1220,A,1
766,1221,B,1
767,1222,A,1
768,1223,A,1
769,1225,B,0
770,1227,B,2
771,1229,B,1
772,1231,B,2
773,1232,A,2
774,1233,B,1
775,1234,A,1
776,1235,A,1
777,1236,A,0
778,1237,B,1
779,1239,B,2
780,1240,A,2
781,1242,A,2
782,1243,B,0
783,1244,A,1
784,1245,A,2
785,1246,A,1
786,1247,A,2
787,1248,B,2
788,1249,B,0
789,1250,A,0
790,1252,A,0
791,1253,B,0
792,1255,B,0
793,1256,B,1
794,1257,A,0
795,1258,B,1
796,1262,A,1
797,1264,B,2
798,1265,B,2
799,1266,A,1
800,1267,A,1
801,1268,A,2
802,1269,B,0
803,1271,B,1
804,1273,B,2
805,1274,A,2
806,1276,B,1
807,1281,B,2
808,1282,B,0
809,1284,A,0
810,1285,B,0
811,1286,A,1
812,1287,A,1
813,1288,B,0
814,1289,A,2
815,1290,A,1
816,1291,B,1
817,1292,B,1
818,1293,B,0
819,1294,A,2
820,1296,A,0
821,1298,A,1
822,1299,B,0
823,1300,B,2
824,1301,A,2
825,1304,B,0
826,1305,A,0
827,1306,B,0
828,1307,B,0
829,1312,A,1
830,1313,B,1
831,1314,B,2
832,1315,A,0
833,1316,B,1
834,1317,B,2
835,1321,B,0
836,1323,A,1
837,1324,A,1
838,1325,A,1
839,1327,B,0
840,1329,A,0
841,1330,A,1
842,1331,B,2
843,1333,B,0
844,1335,B,2
845,1336,B,1
846,1339,A,2
847,1340,B,0
848,1341,B,1
849,1342,A,2
850,1343,A,2
851,1344,A,1
852,1345,B,1
853,1346,B,2
854,1347,B,1
855,1348,B,0
856,1349,A,1
857,1351,A,2
858,1352,A,2
859,1353,B,1
860,1358,A,1
861,1363,B,0
862,1364,A,1
863,1365,A,1
864,1366,B,1
865,1367,A,1
866,1368,B,0
867,1369,B,0
868,1370,A,2
869,1371,A,1
870,1373,B,2
871,1374,A,1
872,1375,B,2
873,1376,A,0
874,1377,A,2
875,1378,A,0
876,1379,A,1
877,1380,A,2
878,1383,B,0
879,1384,B,2
880,1386,B,1
881,1388,A,2
882,1394,B,1
883,1395,B,0
884,1397,A,1
885,1398,B,1
886,1399,B,1
887,1400,B,0
888,1401,A,1
889,1402,A,2
890,1403,A,2
891,1405,A,1
892,1406,A,1
893,1407,B,2
894,1408,B,0
895,1412,A,0
896,1413,A,1
897,1415,A,2
898,1416,A,2
899,1417,B,0
900,1419,A,0
901,1420,B,2
902,1421,B,1
903,1422,B,0
904,1423,A,1
905,1424,B,0
906,1425,A,0
907,1426,A,1
908,1427,A,0
909,1428,B,1
910,1430,B,1
911,1431,A,0
912,1432,A,2
913,1436,A,2
914,1438,B,1
915,1441,B,0
916,1443,A,2
917,1444,A,2
918,1445,B,1
919,1446,A,2
920,1448,B,2
921,1451,A,0
922,1452,A,2
923,1454,A,1
924,1460,B,2
925,1462,A,2
926,1463,B,0
927,1464,B,0
928,1466,A,0
929,1467,B,2
930,1470,B,1
931,1471,A,0
932,1472,B,1
933,1473,A,0
934,1476,A,2
935,1477,B,0
936,1478,A,1
937,1479,A,2
938,1481,A,2
939,1483,B,2
940,1484,A,2
941,1489,A,1
942,1490,B,0
943,1491,B,0
944,1492,B,1
945,1496,A,1
946,1497,A,1
947,1498,B,2
948,1499,A,2
949,1500,B,1
950,1501,B,2
951,1502,B,2
952,1503,B,2
953,1504,B,1
954,1505,A,1
955,1507,B,0
956,1508,A,0
957,1510,A,1
958,1511,A,2
959,1513,B,1
960,1515,B,1
961,1518,A,1
962,1520,A,2
963,1521,B,2
964,1523,B,0
965,1524,A,0
966,1527,A,2
967,1528,A,2
968,1529,A,2
969,1530,A,1
970,1531,A,2
971,1536,B,1
972,1537,A,0
973,1538,B,1
974,1539,A,2
975,1540,A,1
976,1543,A,1
977,1545,B,2
978,1546,B,0
979,1547,A,1
980,1548,A,0
981,1551,B,2
982,1552,A,1
983,1553,A,2
984,1557,A,0
985,1558,B,2
986,1561,B,2
987,1562,A,0
988,1563,B,0
989,1566,B,1
990,1568,B,0
991,1569,A,0
992,1570,B,2
993,1571,B,0
994,1572,B,0
995,1573,B,0
996,1576,A,2
997,1577,A,1
998,1578,B,0
999,1579,A,2
1000,1580,A,1
1001,1581,B,2
1002,1583,B,1
1003,1585,B,1
1004,1587,A,0
1005,1589,A,1
1006,1591,B,2
1007,1592,B,1
1008,1593,A,2
1009,1594,B,1
1010,1595,B,1
1011,1597,B,2
1012,1599,A,2
1013,1600,B,1
1014,1601,B,1
1015,1603,A,1
1016,1605,B,0
1017,1606,A,0
1018,1607,B,1
1019,1608,B,0
1020,1609,B,2
1021,1610,A,0
1022,1611,A,0
1023,1612,A,2
1024,1613,B,0
1025,1615,A,0
1026,1616,A,1
1027,1617,A,0
1028,1618,B,1
1029,1621,A,2
1030,1622,B,1
1031,1623,A,1
1032,1624,A,0
1033,1625,A,1
1034,1626,A,1
1035,1627,B,2
1036,1628,A,2
1037,1631,A,2
1038,1632,A,0
1039,1634,B,1
1040,1635,A,0
1041,1636,B,2
1042,1639,A,2
1043,1642,B,0
1044,1643,A,1
1045,1644,B,1
1046,1647,B,0
1047,1648,B,2
1048,1649,B,2
1049,1652,A,2
1050,1654,A,2
1051,1657,B,1
1052,1658,A,1
1053,1659,A,1
1054,1660,A,2
1055,1661,A,2
1056,1663,A,1
1057,1664,A,1
1058,1667,A,2
1059,1668,B,2
1060,1672,B,0
1061,1673,B,0
1062,1675,A,1
1063,1677,B,0
1064,1678,B,0
1065,1679,A,2
1066,1680,B,2
1067,1681,A,0
1068,1684,A,0
1069,1685,A,2
1070,1686,A,1
1071,1687,A,0
1072,1689,A,1
1073,1690,B,1
1074,1691,A,0
1075,1692,A,0
1076,1693,A,1
1077,1696,A,2
1078,1698,A,2
1079,1699,B,1
1080,1700,B,1
1081,1701,A,1
1082,1702,A,0
1083,1703,A,0
1084,1704,B,0
1085,1705,A,2
1086,1706,A,1
1087,1710,B,2
1088,1711,B,1
1089,1713,A,1
1090,1714,B,1
1091,1716,B,0
1092,1717,B,2
1093,1720,B,2
1094,1721,B,1
1095,1722,B,1
1096,1724,B,1
1097,1725,A,0
1098,1727,B,0
1099,1729,B,0
1100,1730,B,2
1101,1732,B,0
1102,1733,A,0
1103,1735,A,1
1104,1736,A,2
1105,1737,B,0
1106,1738,B,0
1107,1741,B,0
1108,1742,B,1
1109,1743,B,2
1110,1744,A,1
1111,1749,A,0
1112,1750,B,1
1113,1751,A,1
1114,1752,B,0
1115,1753,B,0
1116,1756,B,1
1117,1759,A,1
1118,1761,B,2
1119,1762,A,0
1120,1763,A,2
1121,1764,B,0
1122,1765,A,0
1123,1766,A,2
1124,1767,A,2
1125,1768,A,1
1126,1769,B,1
1127,1771,B,0
1128,1772,B,2
1129,1773,A,2
1130,1774,A,1
1131,1775,B,2
1132,1776,B,0
1133,1777,A,0
1134,1779,A,0
1135,1780,A,0
1136,1782,A,1
1137,1783,A,1
1138,1785,B,1
1139,1788,A,2
1140,1789,B,2
1141,1790,B,0
1142,1793,A,2
1143,1795,B,1
1144,1797,A,0
1145,1798,B,0
1146,1799,B,2
1147,1801,A,1
1148,1802,B,0
1149,1803,A,0
1150,1804,A,1
1151,1805,A,1
1152,1807,B,0
1153,1810,A,0
1154,1812,A,0
1155,1813,B,0
1156,1815,B,2
1157,1816,B,0
1158,1820,B,0
1159,1821,B,0
1160,1822,B,0
1161,1823,B,0
1162,1824,A,1
1163,1825,B,2
1164,1826,A,2
1165,1827,A,1
1166,1828,B,0
1167,1829,A,1
1168,1830,A,2
1169,1831,A,0
1170,1832,A,2
1171,1833,B,1
1172,1835,A,1
1173,1837,B,1
1174,1838,A,2
1175,1840,B,2
1176,1841,A,0
1177,1842,A,1
1178,1843,A,1
1179,1844,A,1
1180,1846,B,1
1181,1848,B,0
1182,1851,A,0
1183,1852,A,0
1184,1853,A,1
1185,1854,A,1
1186,1855,A,2
1187,1858,B,0
1188,1859,A,2
1189,1861,A,2
1190,1865,A,1
1191,1866,B,1
1192,1868,B,0
1193,1870,B,1
1194,1873,B,1
1195,1874,B,0
1196,1875,B,2
1197,1877,A,1
1198,1879,A,0
1199,1880,B,1
1200,1882,B,2
1201,1883,A,2
1202,1884,A,2
1203,1887,A,1
1204,1888,A,1
1205,1890,B,2
1206,1891,A,0
1207,1894,B,2
1208,1895,A,2
1209,1897,A,1
1210,1898,B,1
1211,1902,A,0
1212,1904,B,2
1213,1905,A,2
1214,1907,B,1
1215,1908,A,1
1216,1910,A,0
1217,1915,B,2
1218,1916,A,1
1219,1917,A,2
1220,1918,A,0
1221,1919,B,1
1222,1920,A,0
1223,1921,B,1
1224,1922,A,1
1225,1923,B,2
1226,1926,A,2
1227,1927,B,0
1228,1928,A,0
1229,1929,A,2
1230,1930,A,0
1231,1931,A,1
1232,1932,A,2
1233,1933,B,1
1234,1934,B,0
1235,1936,B,1
1236,1937,A,1
1237,1938,B,2
1238,1939,B,0
1239,1940,B,1
1240,1941,A,0
1241,1942,A,0
1242,1943,B,1
1243,1946,A,1
1244,1947,B,0
1245,1948,B,2
1246,1950,B,2
1247,1951,A,1
1248,1953,B,1
1249,1954,A,1
1250,1956,A,1
1251,1959,A,2
1252,1963,B,2
1253,1964,B,1
1254,1965,B,1
1255,1966,B,0
1256,1967,A,0
1257,1969,A,2
1258,1970,A,2
1259,1971,A,2
1260,1972,A,0
1261,1974,A,1
1262,1975,A,1
1263,1979,A,1
1264,1980,B,2
1265,1981,B,2
1266,1982,B,0
1267,1984,A,0
1268,1985,B,0
1269,1986,B,1
1270,1989,A,1
1271,1990,A,0
1272,1992,A,1
1273,1993,A,2
1274,1997,B,0
1275,1998,A,0
1276,2000,A,1
1277,2003,B,0
1278,2004,A,2
1279,2005,B,2
1280,2007,A,2
1281,2008,A,1
1282,2009,B,2
1283,2010,B,1
1284,2013,A,0
1285,2014,B,2
1286,2015,A,0
1287,2017,B,0
1288,2019,B,0
1289,2020,B,2
1290,2021,A,1
1291,2022,A,2
1292,2023,A,0
1293,2024,B,1
1294,2025,A,0
1295,2027,B,0
1296,2028,A,0
1297,2029,B,2
1298,2030,B,0
1299,2031,A,1
1300,2035,A,1
1301,2036,B,2
1302,2037,B,1
1303,2040,A,0
1304,2041,B,0
1305,2042,A,0
1306,2043,A,1
1307,2045,A,1
1308,2047,A,2
1309,2051,B,1
1310,2059,B,0
1311,2060,A,1
1312,2062,A,0
1313,2063,B,1
1314,2065,A,2
1315,2066,A,0
1316,2067,A,2
1317,2068,A,1
1318,2070,A,1
1319,2071,B,2
1320,2072,B,2
1321,2074,B,1
1322,2075,A,2
1323,2076,A,2
1324,2077,B,0
1325,2078,A,0
1326,2079,B,1
1327,2080,B,1
1328,2081,A,1
1329,2082,A,0
1330,2083,A,0
1331,2084,B,0
1332,2085,A,0
1333,2086,A,1
1334,2087,B,0
1335,2088,B,2
1336,2089,B,1
1337,2090,B,1
1338,2091,B,0
1339,2093,B,1
1340,2094,A,2
1341,2097,A,2
1342,2098,A,0
1343,2100,B,2
1344,2102,B,2
1345,2103,A,2
1346,2104,A,1
1347,2105,B,2
1348,2106,A,1
1349,2109,A,0
1350,2110,B,1
1351,2111,A,1
1352,2112,A,0
1353,2113,A,2
1354,2115,B,0
1355,2116,A,1
1356,2117,B,1
1357,2118,A,0
1358,2119,A,2
1359,2120,A,0
1360,2121,B,1
1361,2124,B,1
1362,2128,B,2
1363,2131,B,0
1364,2132,B,1
1365,2134,A,0
1366,2136,B,0
1367,2138,B,0
1368,2139,A,1
1369,2142,A,1
1370,2145,A,1
1371,2146,B,0
1372,2147,B,0
1373,2148,B,0
1374,2149,B,0
1375,2150,A,0
1376,2151,A,1
1377,2152,A,0
1378,2153,A,0
1379,2154,B,2
1380,2156,A,1
1381,2157,B,2
1382,2158,A,2
1383,2159,B,0
1384,2160,B,0
1385,2161,B,0
1386,2162,A,0
1387,2163,A,2
1388,2164,B,2
1389,2165,A,2
1390,2166,A,2
1391,2168,B,2
1392,2169,B,0
1393,2171,B,1
1394,2172,B,0
1395,2173,A,2
1396,2174,A,0
1397,2178,A,2
1398,2181,B,1
1399,2182,A,1
1400,2184,B,2
1401,2185,B,2
1402,2186,B,0
1403,2187,B,1
1404,2190,B,1
1405,2191,A,2
1406,2192,A,0
1407,2193,A,0
1408,2195,A,1
1409,2196,B,1
1410,2198,B,0
1411,2199,A,1
1412,2200,B,2
1413,2202,B,0
1414,2203,B,2
1415,2204,A,2
1416,2205,B,1
1417,2206,B,1
1418,2207,B,1
1419,2208,B,0
1420,2209,B,2
1421,2211,B,2
1422,2212,B,2
1423,2213,B,0
1424,2214,A,2
1425,2215,A,0
1426,2216,B,0
1427,2218,B,0
1428,2219,B,1
1429,2220,B,2
1430,2222,A,2
1431,2223,A,1
1432,2224,A,2
1433,2225,A,2
1434,2226,B,2
1435,2228,A,2
1436,2229,A,2
1437,2231,B,1
1438,2233,B,0
1439,2234,B,2
1440,2235,B,0
1441,2237,A,2
1442,2240,B,0
1443,2241,A,2
1444,2242,B,2
1445,2243,A,0
1446,2244,A,2
1447,2245,A,1
1448,2247,B,0
1449,2250,A,0
1450,2252,A,2
1451,2253,A,2
1452,2254,B,2
1453,2256,B,2
1454,2260,A,2
1455,2261,A,0
1456,2262,A,0
1457,2264,B,0
1458,2265,B,0
1459,2266,A,2
1460,2267,B,1
1461,2268,B,0
1462,2269,A,2
1463,2271,A,2
1464,2272,B,2
1465,2273,B,2
1466,2275,A,0
1467,2277,A,1
1468,2279,A,0
1469,2280,B,2
1470,2282,B,1
1471,2285,A,1
1472,2287,B,2
1473,2289,A,1
1474,2291,B,0
1475,2292,B,2
1476,2293,A,2
1477,2294,B,1
1478,2295,A,0
1479,2297,A,2
1480,2299,A,0
1481,2300,B,0
1482,2301,B,2
1483,2302,A,1
1484,2303,B,1
1485,2304,B,1
1486,2306,A,2
1487,2307,A,0
1488,2308,A,0
1489,2309,A,2
1490,2310,A,0
1491,2312,A,1
1492,2314,B,2
1493,2316,A,1
1494,2319,B,1
1495,2320,A,1
1496,2321,B,1
1497,2322,B,2
1498,2325,A,1
1499,2328,A,2
1500,2331,B,0
1501,2332,B,0
1502,2333,B,2
1503,2335,B,2
1504,2337,A,1
1505,2340,B,1
1506,2341,B,1
1507,2343,A,1
1508,2344,A,0
1509,2346,A,0
1510,2347,B,2
1511,2349,A,2
1512,2352,A,2
1513,2354,B,2
1514,2356,A,1
1515,2357,B,1
1516,2358,A,0
1517,2359,A,1
1518,2360,B,1
1519,2361,A,2
1520,2362,B,0
1521,2365,A,2
1522,2367,B,0
1523,2369,B,1
1524,2371,B,1
1525,2372,A,2
1526,2374,B,2
1527,2375,A,2
1528,2376,A,1
1529,2378,A,0
1530,2379,B,1
1531,2380,A,1
1532,2382,B,1
1533,2383,B,0
1534,2385,A,2
1535,2386,B,2
1536,2387,A,1
1537,2388,A,0
1538,2389,A,0
1539,2390,A,0
1540,2393,B,1
1541,2394,B,1
1542,2395,A,1
1543,2396,B,0
1544,2397,B,1
1545,2400,B,2
1546,2401,B,0
1547,2402,A,0
1548,2403,A,2
1549,2404,B,2
1550,2405,A,0
1551,2407,B,1
1552,2408,B,1
1553,2414,B,1
1554,2418,A,1
1555,2419,A,0
1556,2421,B,2
1557,2424,B,0
1558,2425,B,2
1559,2426,B,2
